Time_s,Voltage_V
-0.001000000,-0.003410
-0.000998000,0.003580
-0.000996000,-0.000240
-0.000994000,-0.000270
-0.000992000,0.000280
-0.000990000,0.002360
-0.000988000,0.000580
-0.000986000,-0.003450
-0.000984000,-0.000870
-0.000982000,0.002740
-0.000980000,0.000180
-0.000978000,-0.000210
-0.000976000,0.000430
-0.000974000,-0.000230
-0.000972000,0.000030
-0.000970000,-0.002290
-0.000968000,0.000510
-0.000966000,-0.001130
-0.000964000,-0.001310
-0.000962000,-0.002750
-0.000960000,0.000280
-0.000958000,0.000490
-0.000956000,0.000280
-0.000954000,0.000720
-0.000952000,-0.000830
-0.000950000,0.000780
-0.000948000,0.001760
-0.000946000,0.001590
-0.000944000,0.002970
-0.000942000,-0.002760
-0.000940000,-0.000910
-0.000938000,0.000070
-0.000936000,0.000900
-0.000934000,0.002300
-0.000932000,0.001390
-0.000930000,0.001450
-0.000928000,0.002840
-0.000926000,0.003890
-0.000924000,0.000420
-0.000922000,0.001890
-0.000920000,0.001360
-0.000918000,0.003150
-0.000916000,-0.000510
-0.000914000,0.002270
-0.000912000,-0.003730
-0.000910000,-0.000180
-0.000908000,-0.000060
-0.000906000,0.000820
-0.000904000,-0.001010
-0.000902000,0.000330
-0.000900000,-0.000340
-0.000898000,-0.000960
-0.000896000,0.000020
-0.000894000,-0.000940
-0.000892000,-0.001660
-0.000890000,-0.002120
-0.000888000,0.003220
-0.000886000,0.004220
-0.000884000,-0.003280
-0.000882000,-0.000260
-0.000880000,0.000520
-0.000878000,0.001520
-0.000876000,-0.002230
-0.000874000,-0.001970
-0.000872000,0.001210
-0.000870000,0.001880
-0.000868000,-0.000660
-0.000866000,-0.001120
-0.000864000,-0.002190
-0.000862000,0.000500
-0.000860000,0.000890
-0.000858000,-0.001080
-0.000856000,0.003120
-0.000854000,-0.000280
-0.000852000,0.003710
-0.000850000,-0.001970
-0.000848000,0.003040
-0.000846000,0.000920
-0.000844000,-0.000570
-0.000842000,0.003870
-0.000840000,0.000260
-0.000838000,0.001870
-0.000836000,-0.002630
-0.000834000,-0.000940
-0.000832000,-0.000510
-0.000830000,-0.002490
-0.000828000,0.000890
